Trip_ID,mean_windspeed,max_dist_col,trip_npoints,trip_duration_hours,year,month,MH_Strength,MH_Latitude,MH_Longitude
WA_0001,7.10648983,1284.356859,251,539.7,1989,2,101822.9194,-43,54.25
WA_0002,8.039537374,1316.974944,191,405.0833333,1989,2,101822.9194,-43,54.25
WA_0002,10.40748469,30.10883713,5,8.083333333,1989,2,101822.9194,-43,54.25
WA_0003,9.825645982,2518.840281,333,565.7666667,1989,2,101822.9194,-43,54.25
WA_0004,8.283650946,625.8582653,154,327.85,1989,3,101881.6451,-40.25,120
WA_0005,7.8697955,794.634564,107,269.9666667,1990,2,101829.214,-39.5,56
WA_0006,7.730497804,968.7984768,105,285.8166667,1990,2,101829.214,-39.5,56
WA_0007,9.977688203,2217.635186,150,435.2166667,1990,2,101829.214,-39.5,56
WA_0008,9.780278656,603.2175273,101,297.2,1990,3,101874.476,-36,82.5
WA_0009,9.355473002,682.1342875,70,217.6333333,1991,1,101819.4458,-33.75,96.75
WA_0010,8.369641231,1692.905948,148,487.2333333,1992,1,101913.1314,-35,97.5
WA_0011,12.36394217,194.6535952,22,99.18333333,1992,2,101918.4614,-38,58.75
WA_0011,9.465898164,629.2406058,10,102,1992,2,101918.4614,-38,58.75
WA_0012,11.83917829,2060.594752,19,294.2666667,1992,2,101918.4614,-38,58.75
WA_0013,9.329936026,3693.583745,100,417.45,1992,3,101843.3346,-34.25,77
WA_0014,6.39296677,1028.383413,111,299.3166667,1994,1,101860.3802,-34.5,87.25
WA_0015,8.476249616,1709.396334,139,292.2333333,1994,1,101860.3802,-34.5,87.25
WA_0016,6.911531391,1483.777355,97,262.0666667,1994,1,101860.3802,-34.5,87.25
WA_0017,8.036171296,1954.261529,171,446.0666667,1994,2,101854.9013,-35.25,86
WA_0018,10.8230679,3655.342416,118,280.3666667,1994,2,101854.9013,-35.25,86
WA_0019,8.396958531,777.315846,86,205.6833333,1994,2,101854.9013,-35.25,86
WA_0020,13.28632024,385.3248204,28,70.93333333,1994,2,101854.9013,-35.25,86
WA_0021,7.480209878,1094.707806,70,181.4166667,1994,3,101872.2889,-32.25,96.75
WA_0022,6.399908505,1833.580753,122,322.95,1994,3,101872.2889,-32.25,96.75
WA_0023,7.254872561,667.3333928,64,164.7833333,1998,1,101946.8071,-34.25,75.5
